date,aqi
2024-01-01,138
2024-03-01,171
2024-04-01,87
2024-05-01,174
2024-06-01,147
2024-07-01,54
2024-08-01,29
2024-09-01,50
2024-10-01,97
2024-11-01,255
2024-12-01,141
2024-01-02,103
2024-02-02,91
2024-03-02,79
2024-04-02,151
2024-05-02,254
2024-06-02,127
2024-07-02,41
2024-08-02,42
2024-09-02,76
2024-10-02,123
2024-11-02,222
2024-12-02,189
2024-01-03,138
2024-04-03,162
2024-06-03,172
2024-08-03,44
2024-09-03,77
2024-10-03,115
2024-12-03,144
2024-01-04,192
2024-02-04,191
2024-05-04,181
2024-06-04,132
2024-07-04,56
2024-08-04,46
2024-10-04,122
2024-11-04,379
2024-12-04,159
2024-01-05,173
2024-02-05,73
2024-04-05,118
2024-05-05,180
2024-07-05,45
2024-08-05,53
2024-09-05,37
2024-10-05,72
2024-11-05,220
2024-12-05,99
2024-02-06,78
2024-03-06,84
2024-04-06,155
2024-05-06,170
2024-07-06,43
2024-08-06,49
2024-09-06,46
2024-10-06,79
2024-11-06,249
2024-12-06,135
2024-01-07,103
2024-02-07,162
2024-03-07,152
2024-04-07,161
2024-05-07,194
2024-07-07,33
2024-08-07,27
2024-09-07,47
2024-10-07,82
2024-11-07,164
2024-12-07,169
2024-01-08,104
2024-02-08,105
2024-03-08,113
2024-04-08,98
2024-05-08,227
2024-06-08,169
2024-07-08,45
2024-08-08,38
2024-09-08,40
2024-10-08,107
2024-11-08,232
2024-12-08,162
2024-01-09,113
2024-02-09,97
2024-03-09,165
2024-04-09,152
2024-05-09,213
2024-06-09,126
2024-07-09,49
2024-08-09,38
2024-09-09,60
2024-10-09,104
2024-11-09,247
2024-12-09,106
2024-01-10,160
2024-02-10,151
2024-03-10,154
2024-04-10,236
2024-05-10,197
2024-06-10,142
2024-07-10,79
2024-08-10,36
2024-09-10,77
2024-10-10,99
2024-11-10,146
2024-12-10,99
2024-01-11,175
2024-02-11,164
2024-03-11,157
2024-04-11,226
2024-05-11,164
2024-06-11,101
2024-07-11,64
2024-08-11,49
2024-09-11,71
2024-10-11,98
2024-11-11,96
2024-12-11,168
2024-01-12,189
2024-02-12,203
2024-03-12,82
2024-04-12,169
2024-05-12,173
2024-06-12,111
2024-07-12,75
2024-08-12,45
2024-12-12,211
2024-01-13,187
2024-02-13,266
2024-03-13,97
2024-04-13,133
2024-05-13,219
2024-06-13,116
2024-07-13,69
2024-08-13,38
2024-09-13,43
2024-10-13,134
2024-11-13,277
2024-12-13,237
2024-01-14,141
2024-02-14,215
2024-03-14,118
2024-04-14,113
2024-05-14,244
2024-06-14,112
2024-07-14,63
2024-08-14,50
2024-09-14,69
2024-10-14,144
2024-11-14,257
2024-12-14,148
2024-01-15,142
2024-02-15,210
2024-03-15,100
2024-04-15,94
2024-05-15,249
2024-06-15,112
2024-07-15,83
2024-08-15,37
2024-09-15,71
2024-10-15,130
2024-11-15,280
2024-12-15,208
2024-01-16,205
2024-02-16,237
2024-03-16,97
2024-04-16,88
2024-05-16,178
2024-06-16,122
2024-07-16,71
2024-08-16,37
2024-09-16,100
2024-10-16,188
2024-01-17,283
2024-02-17,177
2024-03-17,107
2024-04-17,126
2024-05-17,221
2024-06-17,106
2024-07-17,69
2024-08-17,30
2024-09-17,103
2024-10-17,206
2024-11-17,365
2024-12-17,272
2024-01-18,185
2024-02-18,202
2024-04-18,120
2024-06-18,158
2024-07-18,72
2024-09-18,122
2024-10-18,160
2024-11-18,290
2024-01-19,118
2024-03-19,116
2024-05-19,154
2024-06-19,320
2024-09-19,67
2024-10-19,232
2024-11-19,317
2024-01-20,236
2024-02-20,114
2024-03-20,117
2024-04-20,172
2024-05-20,241
2024-06-20,172
2024-08-20,45
2024-09-20,49
2024-10-20,216
2024-11-20,288
2024-01-21,172
2024-02-21,108
2024-03-21,176
2024-04-21,152
2024-05-21,219
2024-07-21,107
2024-10-21,164
2024-11-21,244
2024-01-22,155
2024-02-22,87
2024-03-22,162
2024-05-22,197
2024-06-22,80
2024-07-22,104
2024-08-22,45
2024-09-22,87
2024-10-22,212
2024-11-22,331
2024-01-23,166
2024-03-23,110
2024-04-23,157
2024-05-23,186
2024-06-23,138
2024-07-23,81
2024-08-23,34
2024-09-23,100
2024-10-23,220
2024-11-23,240
2024-01-24,143
2024-03-24,105
2024-04-24,181
2024-05-24,174
2024-06-24,132
2024-07-24,59
2024-08-24,55
2024-10-24,235
2024-11-24,158
2024-01-25,110
2024-02-25,162
2024-03-25,93
2024-04-25,175
2024-05-25,199
2024-06-25,109
2024-07-25,40
2024-08-25,61
2024-09-25,146
2024-10-25,177
2024-11-25,265
2024-02-26,101
2024-03-26,160
2024-04-26,142
2024-05-26,159
2024-06-26,90
2024-07-26,51
2024-08-26,42
2024-09-26,102
2024-10-26,117
2024-01-27,193
2024-02-27,84
2024-03-27,99
2024-04-27,139
2024-05-27,182
2024-06-27,90
2024-08-27,43
2024-09-27,70
2024-10-27,225
2024-11-27,255
2024-01-28,195
2024-02-28,122
2024-03-28,76
2024-04-28,137
2024-05-28,167
2024-06-28,63
2024-07-28,72
2024-08-28,38
2024-09-28,49
2024-10-28,245
2024-01-29,271
2024-02-29,184
2024-03-29,78
2024-04-29,135
2024-06-29,61
2024-07-29,67
2024-09-29,70
2024-10-29,162
2024-01-30,161
2024-03-30,123
2024-04-30,155
2024-06-30,70
2024-07-30,65
2024-08-30,64
2024-09-30,89
2024-10-30,202
2024-11-30,229
2024-01-31,165
2024-03-31,105
2024-05-31,138
2024-07-31,63
2024-08-31,58
2024-10-31,253
